paragraph,txt,chapter,type
290,We verkorten de duur van schuldhulptrajecten en verbeteren de toegang tot de Wet schuldsanering natuurlijke personen. We lossen probleemschulden sneller op onder meer door meer mogelijkheden te bieden om tot een schuldregeling te komen.,4. Bestaanszekerheid en kansengelijkheid,txt
291,"We stellen strengere eisen aan beschermingsbewindvoerders en gaan opstapeling van schulden tegen door een maximum te stellen aan verhogingen, rente- en incassokosten. We zorgen voor een betere, verantwoorde overheidsincasso met oog voor de menselijke maat. Doorverkoop van schulden als verdienmodel wordt tegengegaan.",4. Bestaanszekerheid en kansengelijkheid,txt
292,"Het kabinet neemt het advies van de adviescommissie onvolledige opbouw AOW ouderen van Surinaamse herkomst (commissie-Sylvester) en de voorlichting van de Afdeling advisering van de Raad van State terzake spoedig ter hand en zal daarover in overleg treden met de Surinaamse gemeenschap en de Tweede Kamer.Naar een samenleving waar iedereen zichtbaar zichzelf kan zijn We willen dat iedereen in Nederland vrij kan zijn. Vrij om te zijn wie je bent. Vrij van discriminatie en racisme. En vrij om jezelf te ontwikkelen. Nog te vaak krijgen Nederlanders minder kansen of worden zij uitgesloten op grond van afkomst, geslacht, kleur, ras, leeftijd, geloof, seksuele geaardheid of beperking. Dat is onacceptabel. Daarom voeren we een actief emancipatie- en anti- discriminatiebeleid.",4. Bestaanszekerheid en kansengelijkheid,txt
293,"Een democratische samenleving kan alleen functioneren als we een grens trekken als vrijheden van de ander worden bedreigd, als iedereen meedoet en discriminatie wordt bestreden. Voor homohaat, antisemitisme, moslimhaat, vrouwenhaat, (online) seksuele uitbuiting, eerwraak, genitale verminking, kinderhuwelijken, gedwongen huwelijken, haatzaaien en geweld tegen andersdenkenden en tegen minderheden is geen plaats in onze samenleving. Hiertegen treden wij op, onder meer door de aanpak van online bedreigingen, beveiliging van slachtoffers, aanmoediging van het doen van aangifte en gevolgen voor visumverlening.",4. Bestaanszekerheid en kansengelijkheid,txt
294,"Tegen organisaties die tot doel hebben om de democratische rechtsstaat te ondermijnen dient een weerbare democratie zich te beschermen, bijvoorbeeld op basis van de recente wijziging van boek 2 van het Burgerlijk Wetboek die op 1 januari 2022 in werking treedt.",4. Bestaanszekerheid en kansengelijkheid,txt
295,"We versterken de positie van de Nationaal Coördinator tegen Racisme en Discriminatie, de Nationaal Coördinator Antisemitismebestrijding, het College voor de Rechten van de Mens, de Nationale Ombudsman en de gemeentelijke anti-discriminatievoorzieningen met voldoende mensen en middelen. We maken met hen een meerjarig plan ter bestrijding van alle vormen van discriminatie, haatzaaien en racisme.",4. Bestaanszekerheid en kansengelijkheid,txt
296,"We bestrijden vrouwenhaat, zowel ‘online’ als ‘offline’, krachtig. We bestrijden geweld tegen vrouwen achter de voordeur, waaronder seksuele uitbuiting.",4. Bestaanszekerheid en kansengelijkheid,txt
297,"Wij treden op tegen organisaties die zich schuldig maken aan discriminatie of racisme met boetes en een meldplicht voor discriminerende verzoeken aan makelaars, verhuurders,",4. Bestaanszekerheid en kansengelijkheid,txt
298,uitzendbureaus en vastgoedbemiddelaars. Ook kunnen organisaties zich hieraan schuldig hebben gemaakt uitgesloten worden van overheidssubsidies en de gunning van opdrachten en gaat de overheid aan de slag met de mogelijkheden van anoniem solliciteren en ‘open hiring’.,4. Bestaanszekerheid en kansengelijkheid,txt
299,Voor institutioneel racisme is geen plek in onze samenleving. We zetten ons in tegen etnisch profileren. Overheids- en uitvoeringsorganisaties moeten hierbij het goede voorbeeld geven. We blijven inzetten op het verhogen van de aangiftebereidheid door de inzet van anti- discriminatierechercheurs en het versterken van het politie netwerk ‘roze in blauw’.,4. Bestaanszekerheid en kansengelijkheid,txt
300,"We blijven werken aan de acceptatie, veiligheid en emancipatie van de LHBTQI+ gemeenschap. Het Regenboogakkoord is hiervoor de basis. We voeren dit akkoord zorgvuldig uit met (initiatief)wetgeving en beleid.",4. Bestaanszekerheid en kansengelijkheid,txt
301,We continueren de behandeling van voorstellen voor een goede regeling voor draagmoederschap en betrekken hierbij het rapport van de commissie onderzoek interlandelijke adoptie in het verleden (commissie-Joustra).,4. Bestaanszekerheid en kansengelijkheid,txt
302,"Omdat mensen met een beperking gelijkwaardig deel moeten kunnen nemen aan de samenleving ondersteunen wij het opnemen van een verbod op discriminatie op grond van een handicap in artikel 1 van de Grondwet. Dit passen wij ook toe in de praktijk, waar toegankelijkheid de norm wordt.Integratie en Inburgering In een rechtvaardige samenleving mag je afkomst nooit je toekomst bepalen. Integratie is daarom van essentieel belang voor zowel mensen zelf als de Nederlandse samenleving. Succesvolle integratie vereist zowel het nemen van eigen verantwoordelijkheid, als een samenleving die iedereen de kans biedt zijn talenten te ontplooien. Meedoen dus. Door de taal te leren, aan het werk te zijn, actief deel te nemen aan onze samenleving en de fundamentele vrijheden en gelijkheden – verankerd in onze Grondwet – te respecteren.",4. Bestaanszekerheid en kansengelijkheid,txt
303,"Om de integratie en inburgering van nieuwkomers te bevorderen, gaan we door met de nieuwe inburgeringswet. Ook de herinvoering van de inburgeringsplicht voor Turkse nieuwkomers wordt doorgezet. Het is van groot belang dat nieuwkomers (arbeidsmigranten, statushouders) zo snel mogelijk integreren in onze samenleving. Wederkerigheid is hierbij het vertrekpunt en daaruit volgt een wederzijdse opdracht. Van de nieuwkomer vergt dit burgerschap, leren van de taal en het vinden van werk. Kansrijke asielzoekers krijgen vanaf dag één les in de Nederlandse taal en we maken het makkelijker (vrijwilligers)werk te verrichten.",4. Bestaanszekerheid en kansengelijkheid,txt
304,"Nieuwkomers worden gestimuleerd het beste uit zichzelf te halen. Ook met het leren van de taal. Het bereiken van een zo groot mogelijke taalbeheersing blijft het doel, bij voorkeur taalniveau B1, waarbij we afspraken maken met gemeentes om achterstanden in taal zo goed en snel mogelijk aan te pakken. Voor degenen die taalniveau B1 niet goed kunnen bereiken, blijft het streven erop gericht bij naturalisatie het taalniveau zoveel mogelijk naar B1 te verhogen. Het kabinet gaat hiertoe de mogelijkheden tot maatwerk verkennen, in lijn met het maatwerk bij de taaleis inburgering.",4. Bestaanszekerheid en kansengelijkheid,txt
305,"Voor mensen met een meervoudige nationaliteit die alleen de Nederlandse nationaliteit als enkelvoudige nationaliteit wensen maar hun andere nationaliteit(en) niet kunnen afstaan, ondersteunen we een privaatrechtelijk Nederlands register ongewenste nationaliteit.",4. Bestaanszekerheid en kansengelijkheid,txt
306,"Maatschappelijke initiatieven om inburgering te bevorderen worden ondersteund. Via vrijwilligersnetwerken en jongeren die hun maatschappelijke diensttijd vervullen, koppelen we nieuwkomers aan een ‘maatje’ om hen kennis te laten maken met de Nederlandse samenleving.",4. Bestaanszekerheid en kansengelijkheid,txt
307,"Van nieuwkomers verwachten we dat zij onze democratie, rechtsstaat en grondrechten onderschrijven en de fundamentele waarden respecteren We treden streng op tegen eerwraak en vrijheidsbeperking van meisjes, vrouwen en andere kwetsbaren en degenen die hieraan schuldig zijn. Hierbij worden de mogelijkheden verruimd om strafrechtelijk op te treden tegen medeplichtigen. We beschermen slachtoffers van huwelijksdwang, achterlating of genitale verminking, bijv. door een rechter een preventief beschermingsbevel te laten uitvaardigen en het verbieden van het aanprijzen, aanzetten of uitvoeren van maagdenvliesherstel. Ook komt er een meldplicht voor medewerkers in de zorg en het onderwijs bij eergerelateerd geweld, huwelijksdwang of vrouwelijke genitale verminking.",4. Bestaanszekerheid en kansengelijkheid,txt
308,"Ongewenste buitenlandse beïnvloeding en financiering worden aangepakt. We nemen maatregelen om ongewenste beïnvloeding zoveel mogelijk tegen te gaan, o.a. door de werkzaamheden van de verder te versterken Taskforce problematisch gedrag en ongewenste buitenlandse financiering (Kamerstuk 35228, nr. 39) en de behandeling van het wetsvoorstel transparantie maatschappelijke organisaties (Kamerstukken 35646) voort te zetten.",4. Bestaanszekerheid en kansengelijkheid,txt
309,5. Welvarend land,5. Welvarend land,txt
310,"Ondernemende, innovatieve en eerlijke economie Onze economie draait op bedrijven en ondernemers. Zij zijn onmisbaar voor Nederland. Dat vraagt om een goed vestigingsklimaat. We hebben enthousiaste startups, sterke mkb-ondernemers, onafhankelijke zzp’ers en een betrokken bedrijfsleven nodig voor een bloeiende samenleving en groeiende economie. In Nederland slaan grote en kleinere bedrijven de handen ineen voor het vergroten van ons toekomstig verdienvermogen. Alleen zo hebben we de middelen om te investeren in onze welvaart en publieke voorzieningen. We willen een economie die werkt voor mensen. Een economie waarin werkgevers een duurzame band met hun werknemers aangaan. Samen onderweg naar een ondernemende, innovatieve en eerlijke economie.",5. Welvarend land,txt
311,"Bedrijven komen uit een zware periode door de coronacrisis en het einde lijkt helaas nog niet in zicht. Daar waar financieel gezonde ondernemingen door corona niet vooruitkomen door schulden, spant het kabinet zich in om tot oplossingen te komen.",5. Welvarend land,txt
312,"Voor deze coalitie is het mkb belangrijk. Het groei- en innovatief vermogen van mkb- ondernemers en bedrijven wordt versterkt en ondernemerschap wordt gestimuleerd. Dat betekent een meetbare aanpak van regeldruk, waarbij we met de mkb-toets bij wetgeving toetsen of regels ook voor een mkb-ondernemer uitvoerbaar zijn. Het betekent ook het makkelijker maken om mensen in dienst te nemen en te houden, het wegnemen van onnodige belemmeringen bij financiering, het dichten van de financieringskloof, ondersteuning bij digitalisering en verduurzaming, een betere positie van ondernemers in het faillissementsrecht en een meer strategische benutting van overheidsaanbestedingen.",5. Welvarend land,txt
313,We versterken het bedrijfsleven en het vestigingsklimaat en stimuleren met een duidelijke strategie een maakindustrie die vooroploopt. Dat doen we door te voorzien in goed opgeleid personeel en het tekort aan technisch en praktisch opgeleide werknemers aan te pakken. Door het bieden van een stabiel en voorspelbaar ondernemingsklimaat. En door in te zetten op een gelijk speelveld en bescherming te bieden tegen oneerlijke concurrentie van buiten Europa. Andersom vragen we van bedrijven om hun eerlijke bijdrage te nemen en rekening te houden met mensen en leefomgeving. We zetten in op strategische onafhankelijkheid door productie van cruciale (half)producten in Europa en door het beschermen van vitale processen en het voorkomen van ongewenste zeggenschap in vitale bedrijven.,5. Welvarend land,txt
314,"We zetten het Nationaal Groeifonds door via investeringen in projecten gericht op kennisontwikkeling, onderzoek, ontwikkeling en innovatie. Zo versterken we ons verdienvermogen en verhogen we onze economische groei op de langere termijn.",5. Welvarend land,txt
315,Publiek-private samenwerking op het terrein van kennis en innovatie blijft een belangrijk onderdeel van het bedrijfslevenbeleid. Het Topsectorenbeleid wordt gecontinueerd. We verhogen onze publieke investeringen in kennis en innovatie door het instellen van een fonds voor onderzoek en wetenschap en een intensivering van de kennis- en innovatiepijlers in het Groeifonds.,5. Welvarend land,txt
316,"Een bruisende winkelstraat is cruciaal voor de leefbaarheid in dorpen en steden. Het kabinet gaat samen met lokale overheden aan de slag om leegstand tegen te gaan en de samenwerking tussen retail, horeca en cultuur te stimuleren. Toerisme krijgt een volwaardige plek in het economisch beleid, waarbij ingezet wordt op spreiding.",5. Welvarend land,txt
317,We staan mengformules toe door het reguleren van ‘blurring’ in winkelgebieden op een verantwoorde manier waarbij we streng toezien op alcoholmisbruik.,5. Welvarend land,txt
318,De continuïteit van familiebedrijven wordt ondersteund door (reële) bedrijfsopvolging eenvoudiger en eerlijker te maken. Tegelijkertijd wordt oneigenlijk gebruik van de regeling tegengegaan.,5. Welvarend land,txt
319,"We zetten koers naar een kenniseconomie waarbij we, in lijn met de Lissabondoelstelling, investeren in onderzoek en ontwikkeling. We versterken de basis van onze kennisinstellingen en innovatieve ecosystemen, zoals het ruimtevaartcluster bij ESTEC, en stimuleren ze om in de regio en internationaal samen te werken. We ondersteunen innovatieve ‘startups’ en ‘scale-ups’ en richten het missie gedreven innovatiebeleid op de drie grote transities: klimaat en energie, digitalisering en sleuteltechnologieën, en de circulaire economie.",5. Welvarend land,txt
320,"Elke regio telt. De Regio Deals zetten we voort. We versterken de publiek-private samenwerkingsverbanden om de regionale economische kansen te benutten. Samen met de Brainportregio ontwikkelen we de mainport-status door. Er wordt in wet- en regelgeving rekening gehouden met de eigen positie van de grensregio’s. We werken daartoe samen met Vlaanderen, Wallonië, Noord-Rijn Westfalen en Nedersaksen, waarbij knelpunten worden aangepakt.",5. Welvarend land,txt
321,"Met het oog op het behoud van een gelijk speelveld, wordt maatschappelijk ondernemerschap gefaciliteerd door de introductie van de Maatschappelijke B.V. Ook komt er voor maatschappelijk ondernemen één duidelijk kader met rapportage-eisen, en maakt het kabinet met een aangepast voorstel voor duurzaamheidsinitiatieven een uitzondering op de Mededingingswet mogelijk.",5. Welvarend land,txt
322,"Cultuur en creatieve industrie Cultuur is van wezenlijk belang voor onze samenleving en een investering in onze maatschappij: de verbindende, inspirerende en prikkelende kracht van kunst en cultuur brengt mensen bij elkaar brengt, daagt uit en biedt nieuwe perspectieven. Corona toonde het innovatie vermogen van de cultuursector, maar ook haar kwetsbaarheid..",5. Welvarend land,txt
323,"Om herstel, vernieuwing en groei weer mogelijk te maken, investeren we structureel €170 miljoen per jaar in de creatieve en culturele sector.",5. Welvarend land,txt
324,"We hebben daarbij aandacht voor het verbeteren van de arbeidsmarktpositie inclusief een eerlijk salaris voor makers in de gehele creatieve sector, van media en mode tot muziek. We stimuleren cultureel ondernemerschap.",5. Welvarend land,txt
325,"Er komt een herstelplan om zowel professionals, instellingen als amateurverenigingen er weer bovenop te helpen en te versterken.",5. Welvarend land,txt
326,"We willen cultuur toegankelijk maken voor iedereen, onder andere door een goede regionale spreiding door heel Nederland en extra investeringen in cultuurparticipatie.",5. Welvarend land,txt
327,We willen meer aandacht geven aan onze gezamenlijke geschiedenis. Daarom draagt het Rijk bij aan een Nationaal Historisch Museum en een Slavernijmuseum. In aanloop naar het herdenkingsjaar 2023 besteden we extra aandacht aan dialoog over het slavernijverleden en hedendaags racisme.,5. Welvarend land,txt
328,"We stimuleren muziek- en cultuureducatie op school, waaronder bezoeken aan musea.",5. Welvarend land,txt
329,We streven naar een toekomstgerichte bibliotheek(voorziening) in elke gemeente.,5. Welvarend land,txt
330,"We betrekken de creatieve industrie bij grote maatschappelijke opgaven. Digitalisering De huidige digitale revolutie biedt geweldige kansen voor onze samenleving en economie. Die kansen gaan we benutten met uitstekende digitale vaardigheden, een sterke Europese digitale markt, hoogstaande digitale infrastructuur en ambitieuze samenwerking in technologische innovatie. Tegelijkertijd zorgt digitalisering voor een digitale kloof en groeiende ongelijkheid in onze samenleving. Ook onze veiligheid, rechtsstaat, democratie, mensen- en grondrechten en concurrentievermogen staan onder druk. Dat vraagt om solide spelregels, toezicht en strategische autonomie.",5. Welvarend land,txt
331,"Wetenschap, bedrijfsleven, ‘startups’, ‘scale-ups’, kenniscoalities en overheid slaan de handen ineen om de kansen die digitale technologie biedt te verzilveren. We stimuleren innovatie en investeren in chips- en sleuteltechnologieën zoals kunstmatige intelligentie en quantum- computing. We pakken (in Europees verband) de marktmacht en datamacht van grote tech- en platformbedrijven aan om de concurrentiepositie van bedrijven en de privacy van burgers te verbeteren.",5. Welvarend land,txt
332,"Nederland wordt het digitale knooppunt van Europa en krijgt robuust, supersnel en veilig internet in alle delen van het land.",5. Welvarend land,txt
333,"We nemen het voortouw en zetten in Europees verband in op versterking van de samenwerking tussen lidstaten op het gebied van digitalisering, onder meer op mensgerichte inzet van kunstmatige intelligentie, digitale ethiek, ontwikkeling van digitale identiteit en cybersecurity en ‘open source’.",5. Welvarend land,txt
334,"Iedereen krijgt de kans om mee te komen door digitale kennis- en vaardigheden aan te bieden in het onderwijs en via om- en bijscholing. We pakken digibetisme gericht aan via een publiek- private strategie voor digitale geletterdheid en we verbeteren de toegankelijkheid van digitale overheidsdiensten, met behoud van alternatieven voor digitale overheidscommunicatie.",5. Welvarend land,txt
335,"We willen dat inlichtingendiensten beter in staat zijn om hun slagkracht te benutten en hun capaciteit uitbreiden om nieuwe en toenemende digitale dreigingen en aanvallen assertief op te sporen en te bestrijden, met waarborgen voor goed en effectief toezicht en digitale burgerrechten.",5. Welvarend land,txt
336,"We beschermen onze bedrijven, vitale infrastructuur en economisch kapitaal beter door centraal gecoördineerde structurele samenwerking tussen onder andere het Nationaal Cyber Security Centrum (NCSC), het Digital Trust Center (DTC), overheden, bedrijven en wetenschappers. Zij kunnen sneller en makkelijker informatie delen over digitale kwetsbaarheden en ‘hacks’.",5. Welvarend land,txt
337,"Cybercriminaliteit zoals ‘ransomware’ is zeer ondermijnend. We investeren daarom in een brede meerjarige cybersecurity aanpak en in cyberexpertise bij de politie, rechtspraak, het Openbaar Ministerie (OM) en defensie.",5. Welvarend land,txt
338,"We erkennen fundamentele burgerrechten online. We versterken daarom veilige digitale communicatie en passen geen gezichtsherkenning toe zonder strenge wettelijke afbakening en controle. We investeren in een sterke positie van de Autoriteit Persoonsgegevens en versterken samenwerking en samenhang tussen de diverse digitale toezichthouders. We regelen wettelijk dat algoritmes worden gecontroleerd op transparantie, discriminatie en willekeur. Een algoritmetoezichthouder bewaakt dit. De overheid geeft het goede voorbeeld door niet meer",5. Welvarend land,txt
339,data te verzamelen en onderling te delen dan nodig en ontwikkelt regels voor data ethiek in de publieke sector. We geven mensen een eigen ‘online’ identiteit en regie over hun eigen data.,5. Welvarend land,txt
340,"Grote online platformen worden verantwoordelijk om desinformatie en haatzaaien op hun platforms tegen te gaan. We beschermen kinderen extra tegen niet-passende ‘online’ reclame en kindermarketing, geven ze het recht om niet gevolgd te worden en geen dataprofielen te krijgen.",5. Welvarend land,txt
341,6. Gezondheid,6. Gezondheid,txt
342,"Gezondheidszorg Gezondheid is voor iedereen van groot belang. Dat realiseren we ons des te meer door de coronacrisis. Iedereen moet zeker zijn van passende en betaalbare zorg: jong of oud, nu en in de toekomst. Dat vraagt om samenwerking, aandacht voor de patiënt en ruimte voor iedereen die in de zorg werkt. Een gezonde samenleving vraagt ook om het nemen van verantwoordelijkheid voor onszelf en voor elkaar. Ons zorgstelsel is gebaseerd op solidariteit, omdat we willen dat iedereen die zorg nodig heeft, daar toegang tot heeft. Onze zorg is van hoog niveau en het stelsel staat niet ter discussie, maar verbeteringen in het stelsel zijn nodig. Mensen maken zich zorgen, of de zorg van morgen nog wel geleverd kan worden en of deze betaalbaar blijft. Daar moeten we werk van maken. Daarbij moeten we ook breder kijken naar gezondheid: onderwijs, sport, huisvesting, bestaanszekerheid en leefomgeving dragen allemaal bij. Kwetsbare mensen leven zeven jaar korter en vijftien jaar langer in minder goede gezondheid en kinderen die ongezond opgroeien staan veelal op een achterstand. Dat vinden we onacceptabel. We willen de zorg voor iedereen betaalbaar, beschikbaar en bereikbaar houden. Dat vraagt van de politiek goede en stevige keuzes en hervormingen, die tijd kosten en waarbij passende zorg de norm is.",6. Gezondheid,txt
343,Coronacrisis,6. Gezondheid,txt
344,"Wij gebruiken de lessen uit de coronacrisis, zoals het belang van samenwerking, ontschotting en nieuwe (digitale) werkvormen, en maken ons klaar voor toekomstige gezondheidscrises door versterking van de pandemische paraatheid. Dit betekent een (Europese) inzet op o.a. onafhankelijkheid voor genees- en hulpmiddelen, het borgen van publieke belangen en het in overleg met experts instellen van zorgreserves. Daarnaast willen we een flexibele opschaling en inzet van de ic-capaciteit met name op personeel gebied. Ook versterken we de publieke gezondheidszorg.",6. Gezondheid,txt
345,"De coronacrisis heeft het uiterste van de zorg gevraagd en doet dat nog steeds. De werkdruk, het ziekteverzuim en de personeelstekorten zijn door de crisis nog verder verhoogd. Werken in de zorg moet aantrekkelijker worden. Daarom zijn de salarissen verhoogd. Van werkgevers vraagt dit daarnaast goed werkgeverschap, waaronder gerichte verbeteringen in waardering en de onregelmatigheidstoeslag. Een opleidingsakkoord in de Verpleeg- en Verzorgingshuizen en Thuiszorg (VVT) sector ondersteunt dit. Wij zorgen voor meer zeggenschap, een aanpak van de regeldruk, goede (bij)scholing en een betere samenwerking tussen (in)formele zorgverleners. Ook moet meer uren werken in de zorg lonend zijn.",6. Gezondheid,txt
346,"We overwegen of een Chief Medical Officer, die vanuit technisch-inhoudelijke kennis opereert, kan bijdragen aan betere publieke zorg.",6. Gezondheid,txt
347,"Preventie, sport en bewegen",6. Gezondheid,txt
348,"We willen meer aandacht voor preventie en een gezonde levensstijl van jongs af aan. Kinderen die ongezond opgroeien staan veelal op een achterstand. Vermijdbare gezondheidsverschillen pakken we daarom aan. We zetten de doelen van het Preventieakkoord door, met als doel een gezonde generatie in 2040 met een focus op de jeugd door sport, voeding en bewegen. Dit vraagt een brede aanpak, met stimulering van gezonde keuzes en ontmoedigen van ongezonde keuzes, zonder mensen in hun vrijheid te beperken.",6. Gezondheid,txt
349,We stimuleren sport en bewegen in het kader van het bevorderen van de gezondheid. Bij de sportvereniging begint een gezond leven. Daarom helpen we sportverenigingen om straks klaar te staan Nederlanders weer aan het sporten te krijgen.,6. Gezondheid,txt
350,Wij verbreden het Preventieakkoord met mentale weerbaarheid.,6. Gezondheid,txt
351,We verhogen de belasting op suikerhoudende dranken en we verhogen de accijnzen op tabak. We maken bindende afspraken met de industrie over gezondere voedingsmiddelen. We bezien hoe we op termijn een suikerbelasting kunnen invoeren en de BTW op groente en fruit naar 0% kunnen verlagen.,6. Gezondheid,txt
352,"We investeren extra in onderzoek naar en de aanpak van Alzheimer, obesitas en kanker, zowel ten behoeve van volwassenen als van kinderen.",6. Gezondheid,txt
353,Om beter zicht te krijgen op de (maatschappelijke) impact van verslavingen stellen we een Nationaal Rapporteur Verslavingen in die periodiek rapporteert over de omvang en ontwikkeling van verslavingsproblematiek.,6. Gezondheid,txt
354,Gezondheidsstelsel (‘cure’ en ‘care’),6. Gezondheid,txt
355,"Passende zorg is de norm. Dat betekent dat zorg bewezen effectief is en we overbehandeling voorkomen. Het betekent ook dat zorg gericht is op gezondheid, functioneren en kwaliteit van leven; dat zorg samen met patiënt en professional tot stand komt en dat zorg op de juiste plek geleverd wordt. Zorg die vaak voorkomt en niet complex is, is voor iedereen dichtbij beschikbaar, terwijl complexe zorg die weinig voorkomt gespecialiseerd is. We stellen toezichthouders en uitvoerders in staat hier adequaat op te sturen. We verbeteren en verbreden de toets op het basispakket op basis van een kader voor passende zorg. Er wordt ook gekeken naar bewezen (kosten)effectiviteit in de Wet langdurige zorg (Wlz), Jeugdwet en Wet maatschappelijke ondersteuning (Wmo) 2015. Passende zorg betekent dat de tweede lijn dezelfde zorg niet voor een hoger tarief kan declareren maar ook dat de rol van huisartsen versterkt wordt en zij voldoende tijd en capaciteit hebben.",6. Gezondheid,txt
356,"De planbare en acute zorg moet toekomstbestendig gemaakt worden. Aan de hand van de juiste zorg op de juiste plek vragen wij de Nationale Zorgautoriteit (NZa) regiobeelden op te stellen, die kunnen leiden tot een herschikking van het zorglandschap waarbij een integraal aanbod en passende zorg over domeinen heen voor iedereen in Nederland ongeacht woonplaats de normen zijn.",6. Gezondheid,txt
357,We vergroten de grip op stijgende zorgkosten van dure genees- en hulpmiddelen en willen dat deze tegen een eerlijke prijs op de markt komen. We zetten in op transparantie in prijsopbouw en -onderhandeling mede door Europese samenwerking.,6. Gezondheid,txt
358,"In combinatie met de inzet op passende zorg en een praktijk ondersteuner huisarts (POH) kan de geestelijke gezondheidszorg (GGZ) zich meer richten op complexe problematiek en wordt de instroom beperkt. Om de druk op crisiszorg te voorkomen verwachten wij dat alle professionals in de GGZ bereikbaarheidsdiensten tijdens de avonden, nachten en weekenden draaien.",6. Gezondheid,txt
359,"Ouderen moeten gezond ouder kunnen worden in hun eigen of passende omgeving. Dat betekent onder andere inzetten op meer seniorenwoningen en andere woonvormen, levensloopbestendige woningen, mantelzorg, digitale zorg, domotica en valpreventie. Daarbij mag van mensen zelf ook iets verwacht worden. Wij stimuleren gemeenten om mogelijk kwetsbare ouderen vroeg in beeld te hebben en langer thuis wonen mede te faciliteren.",6. Gezondheid,txt
360,Voor een toekomstbestendige ouderenzorg wordt wonen en zorg stapsgewijs gescheiden zodat langer thuis wonen nog meer gestimuleerd wordt. Hierbij is expliciete aandacht voor innovatieve,6. Gezondheid,txt
361,"woonvormen en voor de mogelijkheid voor iedereen, ongeacht inkomen, om betaalbaar langer thuis te blijven wonen met zorg.",6. Gezondheid,txt
362,"Mensen met een beperking hebben een ongekend potentieel voor de samenleving en hebben daarbij soms praktische ondersteuning nodig. We blijven investeren in de gehandicaptenzorg en gaan door met de goede initiatieven uit het programma Onbeperkt Meedoen. Het persoonsgebonden budget (PGB) blijft een geschikt middel voor eigen regie, waarbij passende zorg centraal moet staan.",6. Gezondheid,txt
363,"Goede, tijdige en passende jeugdzorg, met een belangrijke rol voor de eigen omgeving, voorkomt zwaardere zorg. We bakenen duidelijk af wat we onder jeugdzorg verstaan en gemeenten worden in staat gesteld om dit te leveren. Gespecialiseerde jeugdzorg (waaronder jeugd-GGZ) wordt centraler ingekocht. De jeugdbeschermingsketen wordt verbeterd waarbij de rechtsbescherming van het kind en het gezin centraal staan.",6. Gezondheid,txt
364,"Iedereen blijft eigenaar van de eigen gezondheidsgegevens. Gegevens- en datauitwisseling tussen patiënt/cliënt en aanbieder en aanbieders onderling wordt, conform privacywetgeving, verbeterd waarbij uniformiteit noodzakelijk is. Een goed functionerende persoonlijke gezondheidsomgeving (PGO) voor patiënten is het einddoel.",6. Gezondheid,txt
365,Het eigen risico maken we slimmer en betaalbaarder. Mensen hoeven niet in een keer hun gehele eigen risico te betalen maar een betaling per behandeling tot een maximum van 385 euro. Daarnaast willen we de stapeling van eigen bijdragen monitoren en tegengaan. bijvoorbeeld door maximering van de eigen betalingen bij het geneesmiddelenvergoedingssysteem (GVS).,6. Gezondheid,txt
366,Het abonnementstarief heeft geleid tot een beperking van stapeling van zorgkosten en is transparant en eenvoudig in de uitvoering. Door stijgend gebruik van de huishoudelijke hulp staat de beschikbaarheid van voorzieningen onder de Wmo onder druk. Daarom werken we naar een eerlijkere eigen bijdrage voor de huishoudelijke hulp met landelijke normen en met oog voor betaalbaarheid van lage- en middeninkomens. Hierdoor blijven hulp en ondersteuning beschikbaar.,6. Gezondheid,txt
367,"Een contract vormt de basis voor aanbieders en verzekeraars om afspraken te maken over passende zorg, betaalbaarheid en doelmatigheid. Daarom verbeteren we het contracteerproces. Als in de GGZ en wijkverpleging ongecontracteerde zorg onvoldoende afneemt, wordt de aanpak verstevigd. Gedacht wordt aan verplichte kwaliteitsregistratie en onafhankelijke indicatiestelling. Als dit onvoldoende effectief is, wordt gekeken naar een geringe eigen bijdrage of een verlaging van de vergoeding van ongecontracteerde zorg. Dit alles met behoud van keuzevrijheid voor de patiënt.",6. Gezondheid,txt
368,"We werken aan een goed inzicht in de kwaliteit van de geleverde zorg en het aanpakken van niet-integere zorgbestuurders en zorgondernemers. Tegen fraude en oneigenlijk gebruik, onder andere van vastgoed, treden wij op, zeker als de basis van de zorg niet op orde is. Daarnaast stellen we (nadere) voorwaarden aan winstuitkering om excessieve winstuitkering door zorgaanbieders tegen te gaan, dan wel te voorkomen. Onder strenge randvoorwaarden kan het mogelijk zijn dat er risicodragend kapitaal aangetrokken wordt voor investeringen in de kwaliteit van zorg.",6. Gezondheid,txt
369,"Voor transformatie naar passende zorg, de bestuurbaarheid van ziekenhuizen en afremmen van perverse prikkels hebben ook medisch-specialistische bedrijven een verantwoordelijkheid. Indien bij deze medisch-specialistische bedrijven onvoldoende verbetering optreedt binnen twee jaar zal er regelgeving komen zodat alle medisch specialisten in loondienst gaan. Daartoe wordt regelgeving voorbereid.",6. Gezondheid,txt
